module,prod_reachable,authority,decision_critical,decision
market.regime_conditioned,False,NONE,False,RESEARCH_ONLY
market.regime_fsm,False,NONE,False,RESEARCH_ONLY
market.regime_robustness,False,NONE,False,RESEARCH_ONLY
market.transition,False,NONE,False,RESEARCH_ONLY
monitoring.benchmark,False,NONE,False,RESEARCH_ONLY
monitoring.binding_constraint_frequency,False,NONE,False,RESEARCH_ONLY
monitoring.confidence_calibration,False,NONE,False,RESEARCH_ONLY
monitoring.critical_path_observability,False,NONE,False,RESEARCH_ONLY
monitoring.data_trust_report,False,NONE,False,RESEARCH_ONLY
monitoring.decision_coverage,False,NONE,False,RESEARCH_ONLY
monitoring.decision_latency_budget,False,NONE,False,RESEARCH_ONLY
monitoring.decision_quality,False,NONE,False,RESEARCH_ONLY
monitoring.drift_monitor,False,NONE,False,RESEARCH_ONLY
monitoring.execution_calibration,False,NONE,False,RESEARCH_ONLY
monitoring.forecast_realized,False,NONE,False,RESEARCH_ONLY
monitoring.gap_monitor,False,NONE,False,RESEARCH_ONLY
monitoring.observability,False,NONE,False,RESEARCH_ONLY
monitoring.research_production_drift,False,NONE,False,RESEARCH_ONLY
monitoring.risk_budget_utilization,False,NONE,False,RESEARCH_ONLY
monitoring.state_transition_audit,False,NONE,False,RESEARCH_ONLY
monitoring.strategy_health,False,NONE,False,RESEARCH_ONLY
monitoring.validation_controller,False,NONE,False,RESEARCH_ONLY
performance.attribution,False,NONE,False,RESEARCH_ONLY
performance.contract,False,NONE,False,RESEARCH_ONLY
portfolio.aggregator,False,NONE,False,RESEARCH_ONLY
portfolio.budget,False,NONE,False,RESEARCH_ONLY
portfolio.concentration,False,NONE,False,RESEARCH_ONLY
portfolio.drawdown_response,False,NONE,False,RESEARCH_ONLY
portfolio.exposure_engine,False,NONE,False,RESEARCH_ONLY
portfolio.interaction_graph,False,NONE,False,RESEARCH_ONLY
portfolio.lifecycle_gate,False,NONE,False,RESEARCH_ONLY
portfolio.portfolio_ledger,False,NONE,False,RESEARCH_ONLY
portfolio.rebalancing,False,NONE,False,RESEARCH_ONLY
portfolio.risk_contagion,False,NONE,False,RESEARCH_ONLY
portfolio.state_engine,True,NONE,False,MERGE
portfolio.strategy_allocation,False,NONE,False,RESEARCH_ONLY
